year,AverageTemperature,Country,Month,Value,GMSL
1990,14.792,Australia,6,278265.898940768,0.0
1991,17.034,Australia,6,279741.639011863,-1.4
1992,15.507,Australia,6,284766.092717838,1.0
1993,15.132,Australia,6,289142.267681326,4.3
1994,15.227,Australia,6,293830.709141192,6.4
1995,15.546,Australia,6,305162.543548735,6.6
1996,17.401,Australia,6,311914.819824229,7.1
1997,15.174,Australia,6,320439.116819391,22.2
1998,15.837,Australia,6,334328.142646602,7.2
1999,15.636,Australia,6,343713.906947774,21.3
2000,14.402,Australia,6,349885.433108928,25.9
2001,15.939,Australia,6,357653.329899303,25.7
2002,15.482,Australia,6,361861.387896028,29.2
2003,15.922,Australia,6,368345.977425107,40.0
2004,15.841,Australia,6,381519.261592783,41.5
2005,16.161,Australia,6,385581.132806466,40.0
2006,14.223,Australia,6,391134.100909449,40.8
2007,13.724,Australia,6,398816.453543549,49.1
2008,16.256,Australia,6,404237.828214077,60.1
2009,15.881,Australia,6,408448.47899963,59.6
2010,15.488,Australia,6,406200.993184341,61.8
2011,14.569,Australia,6,403705.528313991,73.2
2012,14.674,Australia,6,406462.8477036,82.4
1990,14.199,Austria,6,62297.1655681668,0.0
1991,13.791,Austria,6,65903.513308256,-1.4
1992,15.3,Austria,6,60432.2493410185,1.0
1993,15.075,Austria,6,60790.7577213156,4.3
1994,15.454,Austria,6,61189.1025048542,6.4
1995,13.18,Austria,6,64202.1592201769,6.6
1996,15.718,Austria,6,67667.2626980903,7.1
1997,15.008,Austria,6,67455.8927304212,22.2
1998,15.847,Austria,6,67047.2506680177,7.2
1999,14.489,Austria,6,65660.1336422327,21.3
2000,16.544,Austria,6,66274.7432545115,25.9
2001,13.598,Austria,6,70299.4711482287,25.7
2002,17.192,Austria,6,72126.5914446168,29.2
2003,19.066,Austria,6,78023.9538963192,40.0
2004,14.406,Austria,6,78388.9974250799,41.5
2005,15.518,Austria,6,79588.5018807541,40.0
2006,15.63,Austria,6,76934.9515340371,40.8
2007,16.641,Austria,6,74268.1107226333,49.1
2008,16.37,Austria,6,74066.2557920763,60.1
2009,14.302,Austria,6,67682.7251493548,59.6
2010,15.673,Austria,6,72531.826129136,61.8
2011,15.704,Austria,6,70327.1670444138,73.2
2012,16.222,Austria,6,67698.6586349119,82.4
1990,15.46,Belarus,6,100438.095063708,0.0
1991,16.341,Belarus,6,93649.166141388,-1.4
1992,17.033,Belarus,6,87060.81028961,1.0
1993,14.485,Belarus,6,75551.755291625,4.3
1994,14.794,Belarus,6,62402.279082903,6.4
1995,18.645,Belarus,6,56005.93938238,6.6
1996,16.205,Belarus,6,57251.355700374,7.1
1997,16.836,Belarus,6,60971.816305307,22.2
1998,18.136,Belarus,6,57426.329584039,7.2
1999,20.587,Belarus,6,55033.952116896,21.3
2000,16.129,Belarus,6,53686.857490672,25.9
2001,15.444,Belarus,6,53783.847673632,25.7
2002,17.211,Belarus,6,53843.704423847,29.2
2003,15.631,Belarus,6,54845.145835185,40.0
2004,15.348,Belarus,6,58457.64761596,41.5
2005,15.768,Belarus,6,59664.73908178,40.0
2006,17.092,Belarus,6,62229.398882869,40.8
2007,18.416,Belarus,6,61563.881729088,49.1
2008,16.468,Belarus,6,63846.103794367,60.1
2009,16.515,Belarus,6,59596.205375555,59.6
2010,18.691,Belarus,6,61632.492704327,61.8
2011,18.857,Belarus,6,61128.400592577,73.2
2012,16.114,Belarus,6,60636.851387067,82.4
1990,15.443,Belgium,6,119982.503418506,0.0
1991,13.603,Belgium,6,123130.652897225,-1.4
1992,16.919,Belgium,6,122217.919518023,1.0
1993,16.846,Belgium,6,121156.964954729,4.3
1994,16.467,Belgium,6,124426.885709848,6.4
1995,15.178,Belgium,6,125519.441990638,6.6
1996,16.393,Belgium,6,129010.471708927,7.1
1997,16.262,Belgium,6,123495.742758683,22.2
1998,16.609,Belgium,6,129737.090031462,7.2
1999,15.791,Belgium,6,124208.071769964,21.3
2000,17.049,Belgium,6,126315.209948975,25.9
2001,15.763,Belgium,6,125649.370538717,25.7
2002,17.402,Belgium,6,126015.194675856,29.2
2003,19.224,Belgium,6,127523.989700176,40.0
2004,16.424,Belgium,6,128640.48346799,41.5
2005,17.995,Belgium,6,125118.016504076,40.0
2006,17.391,Belgium,6,122319.593759433,40.8
2007,17.605,Belgium,6,118027.408646158,49.1
2008,16.508,Belgium,6,120362.609842562,60.1
2009,16.291,Belgium,6,107282.543508312,59.6
2010,17.252,Belgium,6,114155.386728776,61.8
2011,16.836,Belgium,6,104945.713770963,73.2
2012,15.301,Belgium,6,100931.595609756,82.4
1990,19.034,Bulgaria,6,78197.8812570199,0.0
1991,19.531,Bulgaria,6,59769.3415026104,-1.4
1992,18.889,Bulgaria,6,56551.5935722778,1.0
1993,19.73,Bulgaria,6,57203.9355176784,4.3
1994,19.356,Bulgaria,6,55649.0813153431,6.4
1995,20.267,Bulgaria,6,57221.6062924032,6.6
1996,20.494,Bulgaria,6,57581.194759982,7.1
1997,20.048,Bulgaria,6,54790.1341566389,22.2
1998,20.302,Bulgaria,6,52143.3567693638,7.2
1999,20.289,Bulgaria,6,45751.789097251,21.3
2000,20.154,Bulgaria,6,44896.670545605,25.9
2001,18.569,Bulgaria,6,48568.9178318705,25.7
2002,20.808,Bulgaria,6,45786.2947197982,29.2
2003,21.642,Bulgaria,6,49971.1515762142,40.0
2004,19.051,Bulgaria,6,49170.3376894348,41.5
2005,18.293,Bulgaria,6,50191.1160644292,40.0
2006,19.27,Bulgaria,6,51446.2829381283,40.8
2007,21.941,Bulgaria,6,55184.4241047849,49.1
2008,20.554,Bulgaria,6,53655.1401671903,60.1
2009,20.298,Bulgaria,6,45487.8735503956,59.6
2010,19.811,Bulgaria,6,47678.6489573594,61.8
2011,19.752,Bulgaria,6,53020.9811161954,73.2
2012,21.711,Bulgaria,6,48117.5560830313,82.4
1990,9.739,Canada,6,463493.332387577,0.0
1991,10.401,Canada,6,454246.137946001,-1.4
1992,8.457,Canada,6,468546.458912059,1.0
1993,9.621,Canada,6,467607.237235461,4.3
1994,10.462,Canada,6,482691.671271798,6.4
1995,11.296,Canada,6,497224.83692526,6.6
1996,10.277,Canada,6,510619.682210148,7.1
1997,10.185,Canada,6,525120.011175522,22.2
1998,11.179,Canada,6,533794.453645326,7.2
1999,10.188,Canada,6,550183.063388038,21.3
2000,8.958,Canada,6,572290.385518472,25.9
2001,9.826,Canada,6,564617.020300164,25.7
2002,9.976,Canada,6,569862.145645112,29.2
2003,9.689,Canada,6,587306.678537712,40.0
2004,9.078,Canada,6,585414.860574334,41.5
2005,10.221,Canada,6,579225.335719904,40.0
2006,11.387,Canada,6,573479.269701141,40.8
2007,10.084,Canada,6,596041.321973836,49.1
2008,10.259,Canada,6,577444.930222255,60.1
2009,9.581,Canada,6,542829.458896225,59.6
2010,10.131,Canada,6,555003.760260925,61.8
2011,9.992,Canada,6,558152.72293811,73.2
2012,11.008,Canada,6,563423.613154917,82.4
1990,19.558,Croatia,6,23390.075209187,0.0
1991,19.701,Croatia,6,17268.9103457996,-1.4
1992,19.757,Croatia,6,16607.1344792414,1.0
1993,20.592,Croatia,6,17081.2280227503,4.3
1994,20.249,Croatia,6,16342.1818762402,6.4
1995,18.761,Croatia,6,16992.8004192757,6.6
1996,20.812,Croatia,6,17587.8984604534,7.1
1997,20.564,Croatia,6,18666.4669752133,22.2
1998,21.207,Croatia,6,19372.3876004329,7.2
1999,20.536,Croatia,6,20215.653226001,21.3
2000,21.831,Croatia,6,19789.1217501208,25.9
2001,19.027,Croatia,6,20943.1099586839,25.7
2002,21.938,Croatia,6,22031.1266650621,29.2
2003,24.194,Croatia,6,23355.2211046544,40.0
2004,19.709,Croatia,6,23005.2348535353,41.5
2005,20.305,Croatia,6,23451.8458466746,40.0
2006,20.264,Croatia,6,23684.9350307817,40.8
2007,22.177,Croatia,6,24955.3759314165,49.1
2008,21.379,Croatia,6,23715.3843178607,60.1
2009,19.735,Croatia,6,21965.6352675347,59.6
2010,20.591,Croatia,6,21183.709310531,61.8
2011,21.318,Croatia,6,20614.4404738916,73.2
2012,22.276,Croatia,6,18776.3813482483,82.4
1990,24.006,Cyprus,6,4621.007176785,0.0
1991,24.117,Cyprus,6,5107.082886881,-1.4
1992,23.713,Cyprus,6,5482.974869661,1.0
1993,24.542,Cyprus,6,5733.674102128,4.3
1994,24.567,Cyprus,6,5977.257104602,6.4
1995,25.431,Cyprus,6,5848.043785196,6.6
1996,24.982,Cyprus,6,6156.132133961,7.1
1997,24.691,Cyprus,6,6287.031657389,22.2
1998,24.95,Cyprus,6,6580.296149717,7.2
1999,24.893,Cyprus,6,6847.659115972,21.3
2000,25.79,Cyprus,6,7095.964384675,25.9
2001,25.065,Cyprus,6,6969.466175788,25.7
2002,25.098,Cyprus,6,7160.388457603,29.2
2003,25.242,Cyprus,6,7550.081927808,40.0
2004,24.681,Cyprus,6,7776.909404745,41.5
2005,24.556,Cyprus,6,7961.983988964,40.0
2006,25.313,Cyprus,6,8152.492308125,40.8
2007,25.869,Cyprus,6,8458.664261444,49.1
2008,26.191,Cyprus,6,8620.395581741,60.1
2009,26.413,Cyprus,6,8372.396591774,59.6
2010,25.214,Cyprus,6,8004.912020822,61.8
2011,25.15,Cyprus,6,7696.667805268,73.2
2012,25.563,Cyprus,6,7160.971875548,82.4
1990,15.976,Czech Republic,6,161662.018871736,0.0
1991,14.905,Czech Republic,6,146047.33959314,-1.4
1992,17.635,Czech Republic,6,141565.719740237,1.0
1993,16.036,Czech Republic,6,135588.565572531,4.3
1994,16.67,Czech Republic,6,129188.734109272,6.4
1995,15.067,Czech Republic,6,129767.166426691,6.6
1996,16.574,Czech Republic,6,132234.071786388,7.1
1997,16.491,Czech Republic,6,128732.638710869,22.2
1998,17.401,Czech Republic,6,123696.517294897,7.2
1999,15.9,Czech Republic,6,115475.259995958,21.3
2000,17.828,Czech Republic,6,125841.969268613,25.9
2001,14.648,Czech Republic,6,125541.536474736,25.7
2002,17.952,Czech Republic,6,122593.400101873,29.2
2003,19.883,Czech Republic,6,126151.648802001,40.0
2004,15.816,Czech Republic,6,126876.916162316,41.5
2005,16.563,Czech Republic,6,124590.137925265,40.0
2006,17.44,Czech Republic,6,125923.402444959,40.8
2007,18.576,Czech Republic,6,126933.162985254,49.1
2008,18.058,Czech Republic,6,121780.716313732,60.1
2009,15.463,Czech Republic,6,113970.029219436,59.6
2010,17.027,Czech Republic,6,115757.36858641,61.8
2011,17.528,Czech Republic,6,114113.146744787,73.2
2012,16.94,Czech Republic,6,109841.328902436,82.4
1990,-2.434,Denmark,6,54306.4333356516,0.0
1991,-3.511,Denmark,6,64874.8138594637,-1.4
1992,-5.5,Denmark,6,58960.3115236108,1.0
1993,-4.443,Denmark,6,61038.6712439614,4.3
1994,-4.967,Denmark,6,64988.7809040025,6.4
1995,-3.279,Denmark,6,61914.1610128897,6.6
1996,-4.583,Denmark,6,75110.840989738,7.1
1997,-3.21,Denmark,6,65457.8348433241,22.2
1998,-3.345,Denmark,6,61117.3416291516,7.2
1999,-4.705,Denmark,6,58456.4158198368,21.3
